customerid,Recency,Frequency,Monetary,Cluster
12346.0,326,1,77183.6,1
12347.0,2,7,4310.0,3
12348.0,75,4,1797.24,1
12349.0,19,1,1665.4588000000338,1
12350.0,310,1,334.4,2
12352.0,36,8,2265.3076000000674,1
12353.0,204,1,89.0,2
12354.0,232,1,1079.4,2
12355.0,214,1,459.4,2
12356.0,23,3,2811.43,1
12357.0,33,1,6207.67,1
12358.0,2,2,1168.06,3
12359.0,58,4,6310.03,1
12360.0,52,3,2662.06,1
12361.0,287,1,189.9,2
12362.0,3,10,5226.23,3
12363.0,110,2,552.0,2
12364.0,8,4,1313.1,3
12365.0,291,2,528.5988000000339,2
12367.0,4,1,168.9,0
12370.0,51,4,3541.94,1
12371.0,45,2,1887.96,1
12372.0,72,3,1298.04,1
12373.0,311,1,364.6,2
12374.0,25,1,742.9300000000001,0
12375.0,11,2,457.5,0
12377.0,315,2,1628.12,1
12378.0,130,1,4008.62,1
12379.0,82,2,852.24,1
12380.0,22,4,2724.81,1
12381.0,5,5,1845.31,3
12383.0,185,5,1850.56,1
12384.0,29,2,585.27,0
12386.0,338,2,401.9,2
12388.0,16,6,2780.66,3
12390.0,80,1,549.84,2
12391.0,22,1,439.66,0
12393.0,72,4,1582.6000000000001,1
12394.0,64,2,1272.48,1
12395.0,19,12,3018.63,3
12397.0,36,2,2409.9,1
12398.0,46,1,1635.6599999999999,1
12399.0,119,4,1108.65,1
12401.0,303,1,84.3,2
12402.0,323,1,225.6,2
12403.0,50,1,427.7,0
12405.0,149,1,1710.39,1
12406.0,22,2,3415.3,1
12407.0,50,5,1708.1200000000001,1
12408.0,33,5,2888.55,1
12409.0,79,3,11072.67,1
12410.0,309,2,693.3299999999999,2
12412.0,75,3,1226.88,1
12413.0,67,3,758.1,1
12414.0,217,3,562.41,2
12415.0,24,21,124772.43880000003,3
12417.0,3,9,3649.1,3
12418.0,113,1,668.58,2
12420.0,64,1,600.39,1
12421.0,16,4,807.04,0
12422.0,96,3,803.5600000000001,1
12423.0,1,8,1859.31,3
12424.0,163,2,1760.96,1
12425.0,78,1,777.2,1
12426.0,195,1,582.73,2
12427.0,22,3,825.8,0
12428.0,26,9,7821.077600000068,3
12429.0,9,4,3750.4,3
12430.0,43,1,256.4,0
12431.0,36,15,6419.95,3
12432.0,43,5,4567.2288000000335,1
12433.0,1,7,13375.87,3
12434.0,85,2,806.14,1
12435.0,80,2,7829.89,1
12436.0,100,1,509.01,2
12437.0,2,18,4951.41,3
12438.0,14,2,2906.85,3
12441.0,367,1,173.55,2
12442.0,3,1,172.06,0
12444.0,21,5,5005.46,3
12445.0,22,1,133.4,0
12446.0,58,1,1002.3100000000001,1
12447.0,243,1,476.49,2
12448.0,44,1,449.45,0
12449.0,22,4,4067.29,3
12450.0,156,2,197.88,2
12451.0,11,5,9035.52,3
12452.0,17,2,430.57,0
12453.0,134,1,707.09,2
12454.0,56,1,3528.34,1
12455.0,73,6,2466.86,1
12456.0,44,3,3181.04,1
12457.0,66,7,2363.23,1
12458.0,71,2,947.4,1
12461.0,94,2,826.88,1
12462.0,19,2,1189.59,0
12463.0,53,4,1344.78,1
12464.0,10,8,1212.05,3
12465.0,17,2,742.1899999999999,0
12468.0,188,2,729.5400000000001,2
12471.0,2,30,19724.46760000007,3
12472.0,32,7,6572.11,3
12473.0,29,5,3370.4676000000677,1
12474.0,17,18,7324.09,3
12475.0,54,1,723.38,1
12476.0,16,11,6816.42,3
12477.0,23,6,13219.74,3
12478.0,4,1,680.99,0
12479.0,11,1,527.2,0
12480.0,28,4,3281.63,1
12481.0,23,10,5579.82,3
12483.0,17,8,2484.98,3
12484.0,33,6,4527.32,1
12488.0,10,3,1298.66,0
12489.0,336,1,334.93,2
12490.0,5,10,5417.93,3
12491.0,39,1,460.40000000000003,0
12492.0,63,2,263.21000000000004,2
12493.0,166,2,433.74,2
