month_dt,sales
2011-01-01,98898.48886
2011-02-01,91152.15698
2011-03-01,145729.36736
2011-04-01,116915.76418
2011-05-01,146747.8361
2011-06-01,215207.38022
2011-07-01,115510.41912
2011-08-01,207581.49122
2011-09-01,290214.45534
2011-10-01,199071.26404
2011-11-01,298496.53752
2011-12-01,333925.7346
2012-01-01,135780.72024
2012-02-01,100510.21698
2012-03-01,163076.77116
2012-04-01,161052.26952
2012-05-01,208364.89124
2012-06-01,256175.69842
2012-07-01,145236.78512
2012-08-01,303142.94238
2012-09-01,289389.16564
2012-10-01,252939.8502
2012-11-01,323512.4169
2012-12-01,338256.9666
2013-01-01,199185.90738
2013-02-01,167239.6504
2013-03-01,198594.03012
2013-04-01,177821.31684
2013-05-01,260498.5647
2013-06-01,396519.6119
2013-07-01,229928.952
2013-08-01,326488.78936
2013-09-01,376619.24568
2013-10-01,293406.64288
2013-11-01,373989.3601
2013-12-01,405454.37802
2014-01-01,241268.55566
2014-02-01,184837.35556
2014-03-01,263100.77262
2014-04-01,242771.8613
2014-05-01,288401.04614
2014-06-01,401814.0631
2014-07-01,258705.68048
2014-08-01,456619.94236
2014-09-01,481157.2437
2014-10-01,422766.62916
2014-11-01,555279.027
2014-12-01,503143.69348
