ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ascension Day,Ascension Day_lower,Ascension Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Easter Monday,Easter Monday_lower,Easter Monday_upper,German Unity Day,German Unity Day_lower,German Unity Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Labor Day,Labor Day_lower,Labor Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Second Day of Christmas,Second Day of Christmas_lower,Second Day of Christmas_upper,Whit Monday,Whit Monday_lower,Whit Monday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-01,6210032.235492,-1432224.619791487,1920411.0172564902,6210032.235492,6210032.235492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7549688.9823,-7549688.9823,-7549688.9823,0.0,0.0,0.0,0.0,0.0,0.0,-6010058.559243257,-6010058.559243257,-6010058.559243257,-7549688.9823,-7549688.9823,-7549688.9823,1166921.0304798612,1166921.0304798612,1166921.0304798612,372709.3925768811,372709.3925768811,372709.3925768811,0.0,0.0,0.0,199973.6762487432
2013-01-02,6211579.637565972,5587913.677319169,8989228.0654771,6211579.637565972,6211579.637565972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084709.9642220277,1084709.9642220277,1084709.9642220277,0.0,0.0,0.0,808758.4293389218,808758.4293389218,808758.4293389218,275951.53488310595,275951.53488310595,275951.53488310595,0.0,0.0,0.0,7296289.601788
2013-01-03,6213127.039639944,5398775.486797633,8911213.68226995,6213127.039639944,6213127.039639944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941206.6102370269,941206.6102370269,941206.6102370269,0.0,0.0,0.0,756196.2841576925,756196.2841576925,756196.2841576925,185010.32607933448,185010.32607933448,185010.32607933448,0.0,0.0,0.0,7154333.649876971
2013-01-04,6214674.441713916,5786167.977288895,9184121.497856095,6214674.441713916,6214674.441713916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272615.8967591347,1272615.8967591347,1272615.8967591347,0.0,0.0,0.0,1171784.1104335783,1171784.1104335783,1171784.1104335783,100831.78632555637,100831.78632555637,100831.78632555637,0.0,0.0,0.0,7487290.338473051
2013-01-05,6216221.843787889,4421726.955333384,7817998.091740265,6216221.843787889,6216221.843787889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77710.15300392605,-77710.15300392605,-77710.15300392605,0.0,0.0,0.0,-101908.62196227426,-101908.62196227426,-101908.62196227426,24198.468958348323,24198.468958348323,24198.468958348323,0.0,0.0,0.0,6138511.690783963
2013-01-06,6217769.24586186,-1758968.2436102054,1588641.3304994216,6217769.24586186,6217769.24586186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6245748.532364401,-6245748.532364401,-6245748.532364401,0.0,0.0,0.0,-6201468.92800509,-6201468.92800509,-6201468.92800509,-44279.604359310535,-44279.604359310535,-44279.604359310535,0.0,0.0,0.0,-27979.286502541043
2013-01-07,6219316.647935833,6879823.049076126,10202953.888983311,6219316.647935833,6219316.647935833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295547.863509252,2295547.863509252,2295547.863509252,0.0,0.0,0.0,2399717.6955333417,2399717.6955333417,2399717.6955333417,-104169.83202408941,-104169.83202408941,-104169.83202408941,0.0,0.0,0.0,8514864.511445085
2013-01-08,6220864.050009804,5545473.266291054,8958504.83972042,6220864.050009804,6220864.050009804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011703.269266547,1011703.269266547,1011703.269266547,0.0,0.0,0.0,1166921.0304812237,1166921.0304812237,1166921.0304812237,-155217.7612146763,-155217.7612146763,-155217.7612146763,0.0,0.0,0.0,7232567.319276351
2013-01-09,6222411.452083776,5178817.752321726,8555789.111669293,6222411.452083776,6222411.452083776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611414.6490306864,611414.6490306864,611414.6490306864,0.0,0.0,0.0,808758.4293481883,808758.4293481883,808758.4293481883,-197343.78031750192,-197343.78031750192,-197343.78031750192,0.0,0.0,0.0,6833826.101114462
2013-01-10,6223958.854157749,4913931.047507287,8498503.932498831,6223958.854157749,6223958.854157749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525560.285179483,525560.285179483,525560.285179483,0.0,0.0,0.0,756196.2841631123,756196.2841631123,756196.2841631123,-230635.9989836292,-230635.9989836292,-230635.9989836292,0.0,0.0,0.0,6749519.139337231
